molecule_chembl_id,smiles_standardized,inchi_key,standard_type,standard_relation,value_um,label,label_rule,label_confidence,MW,LogP,TPSA,HBA,HBD,RotatableBonds,AromaticRings,HeavyAtoms,data_source,source_target,source_family,source_name
CHEMBL5220890,Cc1nc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cn1C,YZFAAWYWTRHHKI-UHFFFAOYSA-N,IC50,=,2.31,1,value_lt_10um,1.0,374.4660000000003,2.2163200000000005,93.09,5,2,3,2,26,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,IEDHIXOGGAHSLI-JCMHNJIXSA-N,IC50,>,100.0,0,relation_greater,1.0,442.5150000000004,5.079000000000003,91.42,3,3,6,3,33,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL313746,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,BCEALSZPAPLOJG-ZHZULCJRSA-N,IC50,>,100.0,0,relation_greater,1.0,340.4260000000002,5.053200000000004,44.89,1,2,2,3,26,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL313500,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,DPKWEIZIBQDTFF-STZFKDTASA-N,IC50,>,100.0,0,relation_greater,1.0,370.45200000000017,5.061800000000003,54.12,2,2,3,3,28,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,JROBWQZZQGDCLF-QNGOZBTKSA-N,IC50,>,100.0,0,relation_greater,1.0,442.5150000000004,5.079000000000003,91.42,3,3,6,3,33,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL419682,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,NHBNPOFEIABVTF-STZFKDTASA-N,IC50,>,100.0,0,relation_greater,1.0,370.45200000000017,5.061800000000003,54.12,2,2,3,3,28,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL88462,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,PFORQVNUDXKNNV-ZHZULCJRSA-N,IC50,>,100.0,0,relation_greater,1.0,370.4520000000002,5.061800000000003,54.12,2,2,3,3,28,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,NQIZOXPPUYQOQV-QNGOZBTKSA-N,IC50,>,100.0,0,relation_greater,1.0,412.48900000000026,5.070400000000004,82.19,2,3,5,3,31,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL5421303,Cc1c(N[C@@H]2CCCC[C@H]2O)nnc(-c2ccc(C(F)(F)F)cc2O)c1C,ZZWSXJAUWNSSBZ-HUUCEWRRSA-N,IC50,=,0.0084,1,value_lt_10um,1.0,381.3980000000001,4.200240000000003,78.27,5,3,3,2,27,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL5647320,Cc1cccc(C(=O)Nc2ncn(Cc3ccc(Cl)c(Cl)c3)n2)c1,SVMLFYKDVRYYOK-UHFFFAOYSA-N,IC50,=,23.0,1,middle_nlrp3_active,0.1333333333333333,361.232,4.193920000000003,59.81,4,1,4,3,24,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL8000,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,LRCXLVSLCVACQP-UHFFFAOYSA-N,IC50,>,100.0,0,relation_greater,1.0,405.45700000000016,5.974400000000004,61.440000000000005,4,2,5,4,31,Negative_Sample,CHEMBL203,RTK,EGFR
CHEMBL377734,O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,CUPLTRAPYIXFAX-UHFFFAOYSA-N,IC50,>,50.0,0,relation_greater,1.0,401.44200000000006,4.064200000000002,78.94,6,3,7,3,28,Negative_Sample,CHEMBL1824,Protease,Cathepsin
CHEMBL3409460,CN1C(=O)c2ccccc2N(C)c2nc(Cl)ncc21,LYOSDZFHLPULJC-UHFFFAOYSA-N,IC50,>,1.0,0,relation_greater,1.0,274.711,2.4879000000000007,49.330000000000005,4,0,0,2,19,Negative_Sample,CHEMBL1075104,Enzyme,PDE4
CHEMBL2313284,Cn1c(=O)c2c(nc(/C=C/c3ccc(Cl)cc3)n2C)n(C)c1=O,RQLGXOPACNRPQG-RMKNXTFCSA-N,IC50,>,10.0,0,relation_greater,1.0,330.7750000000001,1.794499999999999,61.82,6,0,2,3,23,Negative_Sample,CHEMBL1951,Ion_Channel,hERG
