assay_chembl_id,assay_type,canonical_smiles,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,data_source,source_target,source_family,source_name
CHEMBL1737963,F,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,CHEMBL1336269,5.10,=,=,IC50,nM,8010.0,IC50,uM,8.01,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,CHEMBL16312,4.51,=,=,IC50,nM,31000.0,IC50,uM,31.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,CHEMBL1596681,5.04,=,=,IC50,nM,9020.0,IC50,uM,9.02,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,CHEMBL1447078,4.27,=,=,IC50,nM,53900.0,IC50,uM,53.9,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1nc2ccc(Nc3nc4cc(S(=O)(=O)N5CCOCC5)ccc4o3)cc2s1,CHEMBL1531200,,>,>,IC50,nM,100000.0,IC50,uM,100.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],CHEMBL1457403,5.32,=,=,IC50,nM,4790.0,IC50,uM,4.79,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,CHEMBL1539913,4.45,=,=,IC50,nM,35400.0,IC50,uM,35.4,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,CHEMBL1366588,5.68,=,=,IC50,nM,2070.0,IC50,uM,2.07,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1cccn2c(O)c(C(=O)NCCCN3CC(C)CC(C)C3)c(=O)nc12,CHEMBL1709001,4.83,=,=,IC50,nM,14900.0,IC50,uM,14.9,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=c1c2ccc(Cl)cc2nc(-c2cccc(C(F)(F)F)c2)n1O,CHEMBL1329507,4.96,=,=,IC50,nM,11000.0,IC50,uM,11.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1cccc(N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)c1,CHEMBL1507547,4.12,=,=,IC50,nM,76600.0,IC50,uM,76.6,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,CHEMBL2355051,4.53,=,=,IC50,nM,29300.0,IC50,uM,29.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,I.c1ccc(Sc2cccc3ccccc23)c(CNC2=NCCN2)c1,CHEMBL1339092,4.93,=,=,IC50,nM,11700.0,IC50,uM,11.7,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,N#Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,CHEMBL1574982,5.45,=,=,IC50,nM,3530.0,IC50,uM,3.53,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCN(CC)c1ccc2nc3ccccc3[n+](CC)c2c1.[I-],CHEMBL1558285,4.84,=,=,IC50,nM,14300.0,IC50,uM,14.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCCCCC(=O)N1CCN(CC/N=C/C2=C(O)CC(c3ccco3)CC2=O)CC1,CHEMBL3193158,5.14,=,=,IC50,nM,7300.0,IC50,uM,7.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1ccc(CNC(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)cc1,CHEMBL1339245,5.01,=,=,IC50,nM,9700.0,IC50,uM,9.7,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CN(CCOc1ccccc1)c1ccc(S(=O)(=O)N2CCCCC2)cn1,CHEMBL1585618,,>,>,IC50,nM,100000.0,IC50,uM,100.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=c1c2cc(Br)ccc2nc(-c2ccc([N+](=O)[O-])cc2)n1O,CHEMBL1386774,5.31,=,=,IC50,nM,4910.0,IC50,uM,4.91,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(Nc1scc(-c2ccccc2)c1C(=O)O)c1ccc(F)cc1,CHEMBL1412902,4.99,=,=,IC50,nM,10300.0,IC50,uM,10.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CC(=O)Oc1c(I)cc(I)cc1C(=O)Nc1ccc(Cl)cc1,CHEMBL236150,5.79,=,=,IC50,nM,1610.0,IC50,uM,1.61,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=c1c2cc(Cl)ccc2nc(-c2ccc([N+](=O)[O-])cc2)n1O,CHEMBL1347185,5.18,=,=,IC50,nM,6600.0,IC50,uM,6.6,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cn1c(=O)c(C(=O)NNC(=O)c2ccccc2F)c(O)c2ccccc21,CHEMBL1343658,5.71,=,=,IC50,nM,1940.0,IC50,uM,1.94,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCCCCNC(=O)C(=O)C1C(=O)Nc2ccccc21,CHEMBL1602195,5.54,=,=,IC50,nM,2900.0,IC50,uM,2.9,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,CHEMBL1076347,5.83,=,=,IC50,nM,1490.0,IC50,uM,1.49,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCOC(=O)N1C(=O)C2(CCCCC2)N(c2ccccc2Cl)C1=S,CHEMBL1334557,5.23,=,=,IC50,nM,5920.0,IC50,uM,5.92,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(CN1CCCCC1)NNC(=O)c1cccc(Br)c1,CHEMBL1711405,4.63,=,=,IC50,nM,23300.0,IC50,uM,23.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,C=CCc1c(C)nc(C)nc1N/N=C/c1ccccc1O,CHEMBL3192672,4.34,=,=,IC50,nM,45500.0,IC50,uM,45.5,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCC1Nc2ncnc(N3CCN(c4ccccn4)CC3)c2N(Cc2ccc(Cl)cc2)C1=O.O=C(O)C(F)(F)F,CHEMBL1563728,5.50,=,=,IC50,nM,3160.0,IC50,uM,3.16,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1ccc(S(=O)(=O)N2CCN=C2SCc2ccccc2)cc1,CHEMBL1505335,4.38,=,=,IC50,nM,41800.0,IC50,uM,41.8,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(Nc1cccc(Cl)c1)c1cnn2cccnc12,CHEMBL1447669,5.09,=,=,IC50,nM,8190.0,IC50,uM,8.19,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCSc1nsc(NC(=O)Nc2cccc(F)c2)n1,CHEMBL1427059,5.71,=,=,IC50,nM,1970.0,IC50,uM,1.97,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1cccc(NC(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c1,CHEMBL1505307,4.36,=,=,IC50,nM,43400.0,IC50,uM,43.4,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1cccc(C(=O)ONC(=N)Cc2cccc3ccccc23)c1,CHEMBL602526,5.79,=,=,IC50,nM,1620.0,IC50,uM,1.62,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1cccc(NC(=O)c2ccccc2)c1,CHEMBL1398317,4.86,=,=,IC50,nM,13700.0,IC50,uM,13.7,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=[N+]([O-])c1cccc(/C=N/Nc2nc(NCc3ccccc3)nc(N3CCOCC3)n2)c1O,CHEMBL3191011,4.61,=,=,IC50,nM,24300.0,IC50,uM,24.3,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,CHEMBL1571123,5.45,=,=,IC50,nM,3580.0,IC50,uM,3.58,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1ccc(C2=NOC(C)(c3nnc(-c4ccccc4)o3)C2)cc1,CHEMBL1732520,4.38,=,=,IC50,nM,41200.0,IC50,uM,41.2,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1c(OC(C)=O)c(=O)n2c3ccccc3c3ccnc1c32,CHEMBL1703295,5.80,=,=,IC50,nM,1580.0,IC50,uM,1.58,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,C[C@@H]1C[C@@H]2O[C@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,CHEMBL453974,5.08,=,=,IC50,nM,8410.0,IC50,uM,8.41,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cl.Nc1ccc(Oc2cc(N)cc(Oc3ccccc3)c2)cc1,CHEMBL1381195,5.32,=,=,IC50,nM,4740.0,IC50,uM,4.74,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1ccccc1CNC(=O)c1ccc(SC)cc1OC,CHEMBL1577062,4.61,=,=,IC50,nM,24800.0,IC50,uM,24.8,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1onc(-c2ccccc2Cl)c1C(=O)N1C=CC(C(F)(F)F)=NCC1,CHEMBL1541722,5.06,=,=,IC50,nM,8660.0,IC50,uM,8.66,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(NCCC1=CCCCC1)c1c(O)nc2sccn2c1=O,CHEMBL1512568,5.42,=,=,IC50,nM,3800.0,IC50,uM,3.8,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,c1ccc(C2Nc3ccccc3C3OCCCC23)cc1,CHEMBL1525362,5.13,=,=,IC50,nM,7360.0,IC50,uM,7.36,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1cccc(C(=O)NNC(=O)c2c(O)c3ccccc3n(C)c2=O)c1,CHEMBL1331770,5.99,=,=,IC50,nM,1030.0,IC50,uM,1.03,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCOC(=O)c1ccc2c(c1)nc(COc1ccc(OC)cc1)n2CC,CHEMBL1549127,,>,>,IC50,nM,100000.0,IC50,uM,100.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(Nc1cccc(Br)c1)c1cc2ccccc2o1,CHEMBL1532568,5.01,=,=,IC50,nM,9810.0,IC50,uM,9.81,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(NC(=S)NNC(=O)c1ccccc1O)c1ccc(F)cc1,CHEMBL1411435,5.10,=,=,IC50,nM,7940.0,IC50,uM,7.94,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Oc1c(/C=N/c2ccccn2)sc2ccccc12,CHEMBL1994635,4.99,=,=,IC50,nM,10200.0,IC50,uM,10.2,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cn1c(=O)c(C(=O)Nc2ncccn2)c(O)c2ccccc21,CHEMBL1529733,4.87,=,=,IC50,nM,13600.0,IC50,uM,13.6,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1cc(CNCCc2ccccc2)ccc1OCc1ccc(Cl)nc1.Cl,CHEMBL1363164,4.52,=,=,IC50,nM,30100.0,IC50,uM,30.1,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,COc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,CHEMBL1580883,4.09,=,=,IC50,nM,81000.0,IC50,uM,81.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,c1ccc(OCc2nnnn2-c2ccccc2)cc1,CHEMBL1313152,5.22,=,=,IC50,nM,6000.0,IC50,uM,6.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(NNC(=S)NC(=O)c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,CHEMBL1451060,5.25,=,=,IC50,nM,5630.0,IC50,uM,5.63,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=c1cc(-c2ccccc2Cl)oc2ccc([N+](=O)[O-])c(O)c12,CHEMBL1388722,5.04,=,=,IC50,nM,9170.0,IC50,uM,9.17,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CC(C)NC(=O)c1c(O)nc2ccccc2c1O,CHEMBL1559889,4.88,=,=,IC50,nM,13100.0,IC50,uM,13.1,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CN(CC(=O)N1CCc2ccccc2C1)c1ccccc1,CHEMBL1444685,,>,>,IC50,nM,100000.0,IC50,uM,100.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccccc1C,CHEMBL2000196,5.08,=,=,IC50,nM,8340.0,IC50,uM,8.34,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(Nc1cccc(Cl)c1)c1cc(N=Nc2ccc([N+](=O)[O-])cc2Cl)ccc1O,CHEMBL1490692,5.87,=,=,IC50,nM,1340.0,IC50,uM,1.34,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCC1Nc2ncnc(N3CCN(c4ccccn4)CC3)c2N(Cc2ccc(Br)cc2)C1=O.O=C(O)C(F)(F)F,CHEMBL2001888,5.43,=,=,IC50,nM,3710.0,IC50,uM,3.71,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl,CHEMBL1256359,5.10,=,=,IC50,nM,8020.0,IC50,uM,8.02,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1,CHEMBL1596325,5.05,=,=,IC50,nM,8960.0,IC50,uM,8.96,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(NCCCCc1ccccc1)c1ccccc1Br,CHEMBL1716490,4.73,=,=,IC50,nM,18500.0,IC50,uM,18.5,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CCN1/C(=C/C=C/c2oc3ccc(-c4ccccc4)cc3[n+]2CC)Oc2ccc(-c3ccccc3)cc21.CCOS(=O)(=O)[O-],CHEMBL601543,5.04,=,=,IC50,nM,9070.0,IC50,uM,9.07,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,CC1CC(=O)c2cnc(Nc3cccc(C(F)(F)F)c3)nc2C1,CHEMBL1530042,4.34,=,=,IC50,nM,46000.0,IC50,uM,46.0,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,O=C(NCCCc1ccccc1)c1c(O)nc2sccn2c1=O,CHEMBL1707377,5.02,=,=,IC50,nM,9610.0,IC50,uM,9.61,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Cc1csc2nc(O)c(C(=O)NCCC3=CCCCC3)c(=O)n12,CHEMBL1727095,5.39,=,=,IC50,nM,4070.0,IC50,uM,4.07,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1737963,F,Br.CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,CHEMBL1518625,4.92,=,=,IC50,nM,11900.0,IC50,uM,11.9,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,CHEMBL1336269,5.84,=,=,IC50,nM,1440.0,IC50,uM,1.44,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,CHEMBL16312,5.27,=,=,IC50,nM,5400.0,IC50,uM,5.4,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,CHEMBL1596681,5.20,=,=,IC50,nM,6260.0,IC50,uM,6.26,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,CHEMBL1447078,5.31,=,=,IC50,nM,4850.0,IC50,uM,4.85,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],CHEMBL1457403,5.97,=,=,IC50,nM,1080.0,IC50,uM,1.08,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,CHEMBL1539913,5.00,=,=,IC50,nM,10100.0,IC50,uM,10.1,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,CHEMBL1366588,5.98,=,=,IC50,nM,1050.0,IC50,uM,1.05,NLRP3_ChEMBL,CHEMBL1741208,,
CHEMBL1738451,F,Cc1cccn2c(O)c(C(=O)NCCCN3CC(C)CC(C)C3)c(=O)nc12,CHEMBL1709001,4.99,=,=,IC50,nM,10300.0,IC50,uM,10.3,NLRP3_ChEMBL,CHEMBL1741208,,
